,Name,Address,Longitude,Latitude
140,Clay County Dental Care," 1414 Kingsley Avenue, Suite 2, Orange Park, Florida",-81.7238197,31.66251965
141,"Clearwater Free Clinic, Inc."," 707 N Fort Harrison Ave, Clearwater, Florida",-82.7991479,29.15580029
142,Clemson Free Clinic FL," 1200 Tiger Blvd., Clemson, South Carolina",-82.829675,37.02731494
143,Clinic at Faith Mission," 245 N. Grant Ave, Columbus, Ohio",-82.9923582,43.67002898
144,Clinic At Poverello House," 412 F St, Fresno, California",-119.7887467,39.5337615
145,Clinic by the Bay," 4877 Mission St, San Francisco, California",-122.4378785,40.78345738
146,Clinic With A Heart," 1701 S 17th St Ste 4G, Lincoln, Nebraska",-96.6969945,44.75608951
147,Clinica El Buen Samaritano," 7915 Old Percival Road, Columbia, South Carolina",-80.910567,36.26749938
148,Clinica Gratis of Community Initiatives," 929 Phoenix St, Greenwood, South Carolina",-82.153985,36.41238119
149,"ClinicNET, Inc."," 3033 S Parker Rd Ste 500, Aurora, Colorado",-104.8602909,43.27026589
150,Clinton County Free Clinic," 1101 4th St Ste 101A, Alexandria, Louisiana",-92.444301,32.99635503
151,CMG Mobile Med," 82915 Avenue 48, Indio, California",-116.2190464,35.82992841
152,Coastal Medical Access Project," 2605 Parkwood Dr, Brunswick, Georgia",-81.4820263,32.83650008
153,Coastal Volunteers in Medicine," 249 S. Main Street, Ste. 8, Barnegat, New Jersey",-74.2295438,43.3815604
154,Collin County Adult Clinic," 2520 Avenue K Suite 100, Plano, Texas",-96.6979018,35.03052939
155,Columbia County Volunteers in Medicine," 310 East Third Street Box 416, Mifflinville, Pennsylvania",,
156,Common Ground Health Clinic," 1400 Teche St, New Orleans, Louisiana",-90.0516816,31.40494796
157,Commonwealth Health Free Clinic," 740 E 10th Ave, Bowling Green, Kentucky",-86.4382424,39.8629165
158,"Community Care Center for Forsyth County, Inc."," 2135 New Walkertown Rd, Winston Salem, North Carolina",-80.2187546,38.7641406
159,Community Care Clinic ID," 703 N 1st St, McCall, Idaho",-116.1001544,50.36967521
160,Community Care Clinic NC," 141 Health Center Dr Ste B, Boone, North Carolina",-81.6412923,38.89875925
161,Community Care Clinic Of Dare," 425 W Health Center Dr, Nags Head, North Carolina",-75.648469,38.60463694
162,"Community Care Clinic of Franklin, Inc."," 1830 Lakeside Dr, Franklin, North Carolina",-83.3715097,37.6454141
163,Community Care Clinic of Rowan County," 315 Mocksville Ave Ste G, Salisbury, North Carolina",-80.4717216,38.2366826
164,Community Clinic Of Door County," 1623 Rhode Island St, Sturgeon Bay, Wisconsin",-87.3557755,50.26055039
165,"Community Clinic of High Point, Inc."," 779 N Main St, High Point, North Carolina",-80.0113952,38.58834971
166,Community Clinic Of Rutherford County," 187 W Main St, Spindale, North Carolina",-81.9331734,37.84273363
167,Community Clinic of Shelbyville Bedford Co.," 200 Dover St Ste 203, Shelbyville, Tennessee",-86.4731439,38.00805813
168,Community Connections Free Clinic," 101 E Fountain St, Dodgeville, Wisconsin",-90.1299911,47.66208795
169,Community Dental Clinic," 1008 Woodlawn Street, Clearwater, Florida",-82.7919816,29.12127645
170,Community Free Clinic," 528A Lake Concord Rd NE, Concord, North Carolina",-80.5996132,37.94781366
171,Community Free Clinic of Newport News," 727 25th St, Newport News, Virginia",-76.417487,39.85628516
172,"Community Free Clinic, Inc."," 249 Mill St, Hagerstown, Maryland",-77.7163214,43.23574917
173,Community Health Access Coalition," 143 Arlington Street, Sault St. Marie, Michigan",-84.3487801,52.64722139
174,Community Health Care Clinic," 902 Franklin Ave, Normal, Illinois",-88.989286,44.36893783
175,Community Health Center of West Palm Beach," 2100 45th St Ste A8, West Palm Beach, Florida",-80.0874518,27.78705193
176,Community Health Clinic (mi)," 3147 Logan Valley Rd, Traverse City, Michigan",-85.6186911,50.12159595
177,Community Health Clinic of Butler County Inc.," 103 Bonnie Dr, Butler, Pennsylvania",-79.8745648,44.84691038
178,Community Health Free Clinic," 947 14th Ave SE, Cedar Rapids, Iowa",-91.6514941,46.32405784
179,Community Health Services (was Central Dallas Ministries)," 511 N Akard St Apt 302, Dallas, Texas",-96.8009439,34.73465949
180,Community Health Services of Addison County," 100 Porter Dr, Middlebury, Vermont",-73.16902,49.09539833
181,"Community Health Services Of Union County, Inc."," 1338 E. Sunset Drive, Monroe, North Carolina",-80.5252867,37.36792795
182,Community HealthCare Connections," 190 E Michigan Ave Ste 385, Battle Creek, Michigan",-85.1764425,46.78677973
183,Community Healthworx," 1543 McGinnis St, Alexandria, Louisiana",-92.44995,32.98628437
184,Community Helping Hands Clinic," 56 Camp Glisson Rd, Dahlonega, Georgia",-83.998712,36.86726076
185,"Community Impact for Christ, Inc."," 10505 Dorchester Rd, Summerville, South Carolina",-80.1903105,34.94799278
186,Community Medical Care Center," 1210 W. Main Street, Leesburg, Florida",-81.8844714,30.10870329
187,Community Medical Clinic of Kershaw County," 110 E Dekalb St Ste C, Camden, South Carolina",-80.5959061,36.49092174
188,Community of Hope Health Clinic Pelham," 2000 County Services Drive, Pelham, Alabama",-86.7942191,35.33007785
189,Community Of Hope Health Clinic Albertville," 309 E Main St, Albertville, Alabama",-86.2047596,36.5125196
190,Community Outreach Health Clinic," W180 N8085 Town Hall Road, Menomonee Falls, Wisconsin",-88.1373915,47.94304523
191,Community Volunteers In Medicine," 300 Lawrence Dr Ste B, West Chester, Pennsylvania",-75.5864547,43.68957533
192,CommunityHealth," 2611 W Chicago Ave, Chicago, Illinois",-87.6924379,46.22124007
193,Compassion Community Clinic," 840 I Street, Ste. 4, Sparks, Nevada",-119.7537818,43.11753732
194,Compassion Medical Clinic Of Williams County Inc," 614 E Edgerton St, Bryan, Ohio",-84.5425331,45.66421709
195,Compassionate Care Clinic," 102A Airport Rd NE, Milledgeville, Georgia",-83.261039,35.17641865
196,Compassionate Care Free Clinic," 84 Flat Rock St, Wadesboro, North Carolina",-80.054823,37.34434369
197,Compassionate Care Of Richmond County," 1009 E Washington St, Rockingham, North Carolina",-79.7620707,37.33249552
198,Compassionate Care Of Shelby County Inc.," 124 N Ohio Ave, Sidney, Ohio",-84.1566653,44.08626378
199,Compassionate Health Center," 740 N State Road 25, Rochester, Indiana",-86.2070114,45.11209375
200,Conejo Free Clinic," 80 E Hillcrest Dr Ste 102, Thousand Oaks, California",-118.8747466,36.40960297
201,Conway Interfaith Clinic," 830 N Creek Dr, Conway, Arkansas",-92.4198654,37.52303675
202,Corinthian Family Health Free Clinic," 814 School Street, Des Moines, Iowa",-93.6287478,45.81833532
203,Cornerstone Charitable Clinic," 3500 Noble Ave, Fort Worth, Texas",-97.2970548,34.71759072
204,Cornerstone Community Health Free Clinic," 1014 South 320th Street, Federal Way, Washington",-122.3199974,53.84279268
205,Corry Area Free Clinic," 108 W Smith Street, Corry, Pennsylvania",-79.6443035,46.26135597
206,Coweta Samaritan Clinic," P.O. Box 963, Newnan, Georgia",-84.7996573,35.4469951
207,Cowlitz Free Medical Clinic," 1405 Delaware St, Longview, Washington",-122.9388403,52.11367343
208,Crescent Community Clinic," 5244 Commercial Way, Spring Hill, Florida",-82.5868408,29.75776558
209,Crisis Control Ministry Pharmacy," 200 E 10th St, Winston Salem, North Carolina",-80.2429613,38.76451291
210,Crisis Ministries Health Cliinic," 573 Meeting St, Charleston, South Carolina",-79.9437353,34.75457954
211,Cristo Rey Community Health Center Clinic," 1717 N. High St., Lansing, Michigan",-84.5392967,47.38241221
212,Cross And Crown Mission Clinic," 1008 N McKinley Ave, Oklahoma City, Oklahoma",-97.5369451,37.99018934
213,"Cross Over Health Care Ministry, Inc."," 8600 Quioccasin Rd Ste 102, Henrico, Virginia",-77.564101,40.63373854
214,Crossings Community Clinic," 10255 N. Pennsylvania Avenue, Oklahoma City, Oklahoma",-97.5502808,38.10857967
215,Crossroads Center Medical Clinic," 444 Valparaiso Pkwy, Bldg. C, Valparaiso, Florida",-86.499451,32.06359656
216,Crossroads Medical Mission," 300 W Valley Dr, Bristol, Virginia",-82.1799565,39.39744455
217,Crowley House of Hope," 216 North Magnolia, Crowley, Texas",-97.3591149,34.49289972
218,Culmore Clinic," 3245 Glen Carlyn Rd, Falls Church, Virginia",-77.1385344,42.23258985
219,Diberville Free Clinic," 3409 Big Ridge Rd, Diberville, Mississippi",-88.8915229,31.99139445
220,Dallas Life Foundation Clinic," 1100 Cadiz St, Dallas, Texas",-96.7980427,34.72023509
221,Daughters Of Charity Services Of San Antonio," 7607 Somerset Rd, San Antonio, Texas",-98.5563955,30.72439131
222,Davidson Medical Ministries Clinic," 420 N Salisbury St, Lexington, North Carolina",-80.2487727,38.41892493
223,DEAC Clinic," 604 W Broadway St, Decorah, Iowa",-91.7926161,48.13315321
224,Dental Health for Arlington," 201 N East St, Arlington, Texas",-97.1030738,34.68005881
225,Denver Rescue Mission Medical Services Program," 3501 E. 46th Avenue, Denver, Colorado",-104.9462067,43.42549323
226,Dermhouse," 29425 Northwestern Hwy, Suite 202, Southfield, Michigan",-83.3144551,47.04191891
227,Diakonos," 1421 5th St, Statesville, North Carolina",-80.8899469,38.34369308
228,"Disciples Clinic of Athens, Texas, Inc."," 604 York St, Athens, Texas",-95.8654655,34.05029258
229,Dispensary of Hope," 566 Mainstream Dr Ste 150, Nashville, Tennessee",-86.8134618,38.87894025
230,Downtown Clinic," 611 S 2nd St, Laramie, Wyoming",-105.5948866,45.43533404
231,Downtown Orlando Shepherds Hope Health Center," 101 S. Westmoreland Drive, Orlando, Florida",-81.3928573,29.80046031
232,Dr Rafael A Penalver Clinic Inc.," 971 NW 2nd Street, Miami, Florida",-80.2108348,26.69240534
233,Dr. Albert B Cleage Sr. Memorial Health Center," 700 Seward, Detroit, Michigan",-83.0816716,46.86607206
234,Dr. Garabed Fattal Community Free Clinic," 425 Robinson St, Binghamton, New York",-75.8681756,46.50455302
235,Dr. Gary Burnstein Community Health Clinic," 90 University Dr, Pontiac, Michigan",-83.2895245,47.22765845
236,"Dr. James E. Albrecht Free Clinic, Inc."," 1110 Oak St Ste 1200, West Bend, Wisconsin",-88.1909931,48.29038147
237,Dr. Mary Ludwig Free Clinic," 816 Mill Street, Crawfordsville, Indiana",-86.8896888,43.75413261
238,Dr. Richard F Clark HELP Clinics," 1320 Lasalle Ave, Hampton, Virginia",-76.3615922,39.91598472
239,Dream Center Clinic," 1104 Oyster View Ct, Mount Pleasant, South Carolina",-79.770568,34.81295797
240,Dream Center Clinic North Charleston," 5505 N Rhett Avenue, North Charleston, South Carolina",-79.98652,34.8715515
241,Dream Centers of Colorado Springs," 4360 Montebello Drive, Colorado Springs, Colorado",-104.75633,42.28141295
242,Eastern Panhandle CARE Clinic," 1212 N Mildred St, Ranson, West Virginia",-77.8625753,42.81627599
243,Ebenezer Medical Outreach Inc.," 1448 10th Ave Ste 100, Huntington, West Virginia",-82.4313509,41.66509647
244,Edisto Indian Free Clinic," 1125 Ridge Rd, Ridgeville, South Carolina",-80.3763568,35.07166408
245,Edward R. Leahy Jr. Center Clinic for the Uninsured," 230 Kressler Ct., Scranton, Pennsylvania",-75.6613831,45.56771962
246,Ellis County Coalition for Health Options Dba Hope Clinic," 411 E Jefferson St, Waxahachie, Texas",-96.8444742,34.2591555
247,Englewood Community Care Clinic," 6868 San Casa Drive, Englewood, Florida",-82.3125742,27.97069847
248,Entiat Regional Health Clinic," 2084 Entiat Way, Entiat, Washington",-120.2099317,54.37538458
249,Equal Access Clinic," 238 SW 4th Avenue, Gainesville, Florida",-82.3277562,31.06777625
250,Erie HealthReach Waukegan," 1701 West Superior, Chicago, Illinois",-87.6700606,46.22048533
251,"Esperanza Center Health Services, Inc."," 430 S. Broadway Street, Baltimore, Maryland",-76.5938328,42.78397877
252,Esperanza Hope Clinic Inc.," 6111 W 83rd St, Little Rock, Arkansas",-92.3457656,37.00778388
253,Etowah Baptist Charity Pharmacy," 118 N Adair, Noble, Oklahoma",,
254,Etowah Free Community Clinic," 423 S 3rd St, Gadsden, Alabama",-86.0045994,36.19985374
255,Eunice Community Health Center," 450 Moosa Blvd Ste E, Eunice, Louisiana",-92.4045406,32.05128263
256,"Eureka Christian Health Outreach, Inc."," 4004 E Van Buren, Eureka Springs, Arkansas",-93.7110753,39.11503935
257,Evas Village Healthcare," 20 Jackson Street, Patterson, New Jersey",-74.1715804,44.91007185
258,Ezra Free Clinic," 635 Ronald Reagan Dr, Evans, Georgia",-82.1323567,35.64229522
259,Faith Community Pharmacy," 8616 Turtle Creek Blvd Apt 525, Dallas, Texas",-96.7891496,34.83420003
260,Faith Family Medical Center," 326 21st Ave N, Nashville, Tennessee",-86.8046361,38.82571749
261,"Faith Health Clinic, Inc."," 4182 Baltzell St, Marianna, Florida",-85.2474582,32.38194154
262,Faith Medical Clinic," 103 E Main St., Pinckney, Michigan",-83.94618,46.97918324
263,"Faithcare Wellness Center of Hartford, LLC"," 4 Forest Park Dr, Farmington, Connecticut",-72.8381624,46.0062171
264,Faithful Servants Care Center," 65 Community Road, Ste. F, Tallmadge, Ohio",-81.434728,45.16359529
265,Faithworks Medical," 15269 South Dixie Highway, Monroe, Michigan",-83.4181047,46.22075079
266,"Family Community Clinic, Inc."," 1406 E. Washington St., Louisville, Kentucky",-85.726232,41.46519118
267,Family Health Partnership Clinic," 401 E Congress Pkwy, Crystal Lake, Illinois",-88.3048347,46.67401295
268,Health Brigade," 1010 N Thompson St, Richmond, Virginia",-77.4792953,40.59059235
269,Faquier Free Clinic," 35 Rock Pointe Lane, First Floor, Warrenton, Virginia",-77.7918506,42.06005752
270,"Fayette CARE Clinic, Inc."," 1260 Highway 54 West, Suite 101, Fayetteville, Georgia",-84.5086025,35.52972645
271,Fellowship Health Clinic," 1919 Edwards Street, Hattiesburg, Mississippi",-89.2867721,32.97612779
